There are a total of 783 landmasses
--------------------------------------------------------
For rt = 0.950000:
--------------------------------------------------------
Degree distributions:
With 464 degrees: 0
With 465 degrees: 0
With 466 degrees: 0
With 467 degrees: 0
With 468 degrees: 0
With 469 degrees: 0
With 470 degrees: 0
With 471 degrees: 0
With 472 degrees: 0
With 473 degrees: 0
With 474 degrees: 0
With 475 degrees: 0
With 476 degrees: 0
With 477 degrees: 0
With 478 degrees: 0
With 479 degrees: 0
With 480 degrees: 0
With 481 degrees: 0
With 482 degrees: 0
With 483 degrees: 0
With 484 degrees: 0
With 485 degrees: 0
With 486 degrees: 0
With 487 degrees: 0
With 488 degrees: 0
With 489 degrees: 0
With 490 degrees: 0
With 491 degrees: 0
With 492 degrees: 0
With 493 degrees: 0
With 494 degrees: 0
With 495 degrees: 0
With 496 degrees: 0
With 497 degrees: 0
With 498 degrees: 0
With 499 degrees: 0
With 500 degrees: 0
With 501 degrees: 0
With 502 degrees: 0
With 503 degrees: 0
With 504 degrees: 0
With 505 degrees: 0
With 506 degrees: 0
With 507 degrees: 0
With 508 degrees: 0
With 509 degrees: 0
With 510 degrees: 0
With 511 degrees: 0
With 512 degrees: 0
With 513 degrees: 0
With 514 degrees: 0
With 515 degrees: 0
With 516 degrees: 0
With 517 degrees: 0
With 518 degrees: 0
With 519 degrees: 0
With 520 degrees: 0
With 521 degrees: 0
With 522 degrees: 0
With 523 degrees: 0
With 524 degrees: 0
With 525 degrees: 0
With 526 degrees: 0
With 527 degrees: 0
With 528 degrees: 0
With 529 degrees: 0
With 530 degrees: 0
With 531 degrees: 0
With 532 degrees: 0
With 533 degrees: 0
With 534 degrees: 0
With 535 degrees: 0
With 536 degrees: 0
With 537 degrees: 0
With 538 degrees: 0
With 539 degrees: 0
With 540 degrees: 0
With 541 degrees: 0
With 542 degrees: 0
With 543 degrees: 0
With 544 degrees: 0
With 545 degrees: 0
With 546 degrees: 0
With 547 degrees: 0
With 548 degrees: 0
With 549 degrees: 0
With 550 degrees: 0
With 551 degrees: 0
With 552 degrees: 0
With 553 degrees: 0
With 554 degrees: 0
With 555 degrees: 0
With 556 degrees: 0
With 557 degrees: 0
With 558 degrees: 0
With 559 degrees: 0
With 560 degrees: 0
With 561 degrees: 0
With 562 degrees: 0
With 563 degrees: 0
With 564 degrees: 0
With 565 degrees: 0
With 566 degrees: 0
With 567 degrees: 0
With 568 degrees: 0
With 569 degrees: 0
With 570 degrees: 0
With 571 degrees: 0
With 572 degrees: 0
With 573 degrees: 0
With 574 degrees: 0
With 575 degrees: 0
With 576 degrees: 0
With 577 degrees: 0
With 578 degrees: 0
With 579 degrees: 0
With 580 degrees: 0
With 581 degrees: 0
With 582 degrees: 0
With 583 degrees: 0
With 584 degrees: 0
With 585 degrees: 0
With 586 degrees: 0
With 587 degrees: 0
With 588 degrees: 0
With 589 degrees: 0
With 590 degrees: 0
With 591 degrees: 0
With 592 degrees: 0
With 593 degrees: 0
With 594 degrees: 0
With 595 degrees: 0
With 596 degrees: 0
With 597 degrees: 0
With 598 degrees: 0
With 599 degrees: 0
With 600 degrees: 0
With 601 degrees: 0
With 602 degrees: 0
With 603 degrees: 0
With 604 degrees: 0
With 605 degrees: 0
With 606 degrees: 0
With 607 degrees: 0
With 608 degrees: 0
With 609 degrees: 0
With 610 degrees: 0
With 611 degrees: 0
With 612 degrees: 0
With 613 degrees: 0
With 614 degrees: 0
With 615 degrees: 0
With 616 degrees: 0
With 617 degrees: 0
With 618 degrees: 0
With 619 degrees: 0
With 620 degrees: 0
With 621 degrees: 0
With 622 degrees: 0
With 623 degrees: 0
With 624 degrees: 0
With 625 degrees: 0
With 626 degrees: 0
With 627 degrees: 0
With 628 degrees: 0
With 629 degrees: 0
With 630 degrees: 0
With 631 degrees: 0
With 632 degrees: 0
With 633 degrees: 0
With 634 degrees: 0
With 635 degrees: 0
With 636 degrees: 0
With 637 degrees: 0
With 638 degrees: 0
With 639 degrees: 0
With 640 degrees: 0
With 641 degrees: 0
With 642 degrees: 0
With 643 degrees: 0
With 644 degrees: 0
With 645 degrees: 0
With 646 degrees: 0
With 647 degrees: 0
With 648 degrees: 0
With 649 degrees: 0
With 650 degrees: 0
With 651 degrees: 0
With 652 degrees: 0
With 653 degrees: 0
With 654 degrees: 0
With 655 degrees: 0
With 656 degrees: 0
With 657 degrees: 0
With 658 degrees: 0
With 659 degrees: 0
With 660 degrees: 0
With 661 degrees: 0
With 662 degrees: 0
With 663 degrees: 0
With 664 degrees: 0
With 665 degrees: 0
With 666 degrees: 0
With 667 degrees: 0
With 668 degrees: 0
With 669 degrees: 0
With 670 degrees: 0
With 671 degrees: 0
With 672 degrees: 0
With 673 degrees: 0
With 674 degrees: 0
With 675 degrees: 0
With 676 degrees: 0
With 677 degrees: 0
With 678 degrees: 0
With 679 degrees: 0
With 680 degrees: 0
With 681 degrees: 0
With 682 degrees: 0
With 683 degrees: 0
With 684 degrees: 0
With 685 degrees: 0
With 686 degrees: 0
With 687 degrees: 0
With 688 degrees: 0
With 689 degrees: 0
With 690 degrees: 0
With 691 degrees: 0
With 692 degrees: 0
With 693 degrees: 0
With 694 degrees: 0
With 695 degrees: 0
